Date,TimeOfDay,AppCategory,DailyUsage,SessionUsage,,daily usage: cumulative of session usage
10/28/2025,23,social,148,7,,
10/28/2025,0,entertainment,0,0,,
10/28/2025,1,entertainment,9,9,,
10/28/2025,2,entertainment,9,0,,
10/28/2025,3,entertainment,9,0,,
10/28/2025,4,entertainment,9,0,,
10/28/2025,5,entertainment,9,0,,
10/28/2025,6,entertainment,21,12,,
10/28/2025,7,entertainment,33,12,,
10/28/2025,8,entertainment,33,0,,
10/28/2025,9,entertainment,61,28,,
10/28/2025,10,entertainment,97,36,,
10/28/2025,11,entertainment,100,3,,
10/28/2025,12,entertainment,135,35,,
10/28/2025,13,entertainment,138,3,,
10/28/2025,14,entertainment,161,23,,
10/28/2025,15,entertainment,164,3,,
10/28/2025,16,entertainment,164,0,,
10/28/2025,17,entertainment,171,7,,
10/28/2025,18,entertainment,171,0,,
10/28/2025,19,entertainment,173,2,,
10/28/2025,20,entertainment,173,0,,
10/28/2025,21,entertainment,173,0,,
10/28/2025,22,entertainment,189,16,,
10/28/2025,23,entertainment,201,12,,
10/28/2025,0,others,0,0,,
10/28/2025,1,others,0,0,,
10/28/2025,2,others,0,0,,
10/28/2025,3,others,0,0,,
10/28/2025,4,others,0,0,,
10/28/2025,5,others,0,0,,
10/28/2025,6,others,0,0,,
10/28/2025,7,others,0,0,,
10/28/2025,8,others,0,0,,
10/28/2025,9,others,0,0,,
10/28/2025,10,others,0,0,,
10/28/2025,11,others,0,0,,
10/28/2025,12,others,0,0,,
10/28/2025,13,others,0,0,,
10/28/2025,14,others,0,0,,
10/28/2025,15,others,0,0,,
10/28/2025,16,others,0,0,,
10/28/2025,17,others,0,0,,
10/28/2025,18,others,0,0,,
10/28/2025,19,others,0,0,,
10/28/2025,20,others,0,0,,
10/28/2025,21,others,12,12,,
10/28/2025,22,others,12,0,,
10/28/2025,23,others,12,0,,
10/29/2025,0,social,0,0,,
10/29/2025,1,social,0,0,,
10/29/2025,2,social,0,0,,
10/29/2025,3,social,0,0,,
10/29/2025,4,social,0,0,,
10/29/2025,5,social,0,0,,
10/29/2025,6,social,0,0,,
10/29/2025,7,social,0,0,,
10/29/2025,8,social,37,37,,
10/29/2025,9,social,37,0,,
10/29/2025,10,social,37,0,,
10/29/2025,11,social,53,16,,
10/29/2025,12,social,53,0,,
10/29/2025,13,social,62,9,,
10/29/2025,14,social,62,0,,
10/29/2025,15,social,62,0,,
10/29/2025,16,social,62,0,,
10/29/2025,17,social,71,9,,
10/29/2025,18,social,72,1,,
10/29/2025,19,social,72,0,,
10/29/2025,20,social,75,3,,
10/29/2025,21,social,118,43,,
10/29/2025,22,social,141,23,,
10/29/2025,23,social,141,0,,
10/29/2025,0,entertainment,0,0,,
10/29/2025,1,entertainment,0,0,,
10/29/2025,2,entertainment,0,0,,
10/29/2025,3,entertainment,0,0,,
10/29/2025,4,entertainment,0,0,,
10/29/2025,5,entertainment,0,0,,
10/29/2025,6,entertainment,0,0,,
10/29/2025,7,entertainment,0,0,,
10/29/2025,8,entertainment,8,8,,
10/29/2025,9,entertainment,44,36,,
10/29/2025,10,entertainment,53,9,,
10/29/2025,11,entertainment,62,9,,
10/29/2025,12,entertainment,62,0,,
10/29/2025,13,entertainment,68,6,,
10/29/2025,14,entertainment,76,8,,
10/29/2025,15,entertainment,77,1,,
